Incident Date,Park Name,Cause of Death,"Cause of Death Group 
(Used in the NPS Mortality Dashboard) ",Intent,Outcome,Sex,Age Range,Activity
7/15/18,Blue Ridge Parkway,Suicide,Suicide,Intentional,Fatal injury,Male,35-44,Suicide
7/15/18,Joshua Tree National Park,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,45-54,Hiking
7/15/18,Lake Roosevelt National Recreation Area,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,45-54,Not Reported
7/16/18,George Washington Memorial Parkway,Drowning,Drowning,Unintentional,Fatal Injury,Male,65+,Fishing
7/16/18,Death Valley National Park,Fall,Fall,Unintentional,Fatal Injury,Male,55-64,Hiking
7/16/18,Mesa Verde National Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,65+,Hiking
7/17/18,Everglades National Park,Aircraft incident,Other Transportation,Unintentional,Fatal Injury,Female,15-24,Flying
7/17/18,Everglades National Park,Aircraft incident,Other Transportation,Unintentional,Fatal Injury,Male,15-24,Flying
7/17/18,Everglades National Park,Aircraft incident,Other Transportation,Unintentional,Fatal Injury,Male,15-24,Flying
7/17/18,Everglades National Park,Aircraft incident,Other Transportation,Unintentional,Fatal Injury,Male,65+,Flying
7/17/18,National Mall & Memorial Parks,Poisoning - drugs,Poisoning,Unintentional,Fatal Injury,Male,Not Reported,Not Reported
7/17/18,New River Gorge National River,Suicide,Suicide,Intentional,Fatal injury,Male,15-24,Suicide
7/18/18,Appalachian National Scenic Trail,Fall,Fall,Unintentional,Fatal Injury,Male,65+,Hiking
7/18/18,Anacostia Park,Medical - Unknown,Medical - Unknown,Medical,Fatal Injury,Male,Not Reported,Not Reported
7/19/18,Mount Rainier National Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,65+,Hiking
7/20/18,Mount Rushmore National Memorial,Fall,Fall,Unintentional,Fatal Injury,Male,55-64,Hiking
7/20/18,Glacier National Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,65+,Driving 
7/22/18,Grand Teton National Park,Fall,Fall,Unintentional,Fatal Injury,Male,25-34,Climbing
7/22/18,Golden Gate National Recreation Area,Suicide,Suicide,Intentional,Fatal injury,Male,15-24,Suicide
7/23/18,Lake Mead National Recreation Area,Drowning,Drowning,Unintentional,Fatal Injury,Male,25-34,Swimming
7/23/18,Grand Teton National Park,Suicide,Suicide,Intentional,Fatal injury,Female,35-44,Suicide
7/23/18,Big Cypress National Preserve,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,Not Reported,Hiking
7/24/18,Blue Ridge Parkway,Homicide,Homicide,Intentional,Fatal Injury,Female,25-34,Homicide
7/24/18,Organ Pipe Cactus National Monument,Hyperthermia,Environmental,Unintentional,Fatal Injury,Male,35-44,Illegal activity
7/24/18,Little Bighorn Battlefield National Monument,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,65+,Sitting
7/24/18,Yellowstone National Park,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,65+,Sleeping
7/25/18,Mount Rainier National Park,Drowning,Drowning,Unintentional,Fatal Injury,Female,15-24,Crossing River
7/25/18,Glen Canyon National Recreation Area,Drowning,Drowning,Unintentional,Fatal Injury,Male,45-54,Diving - Free
7/25/18,Lake Mead National Recreation Area,Poisoning - drugs,Poisoning,Unintentional,Fatal Injury,Male,55-64,Other
7/26/18,Organ Pipe Cactus National Monument,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,25-34,Illegal activity
7/28/18,Lake Mead National Recreation Area,Hyperthermia,Environmental,Unintentional,Fatal Injury,Female,45-54,Hiking
7/29/18,Lake Mead National Recreation Area,Suicide,Suicide,Intentional,Fatal injury,Male,25-34,Suicide
7/30/18,Mount Rainier National Park,Fall,Fall,Unintentional,Fatal Injury,Male,45-54,Hiking
7/31/18,Glacier National Park,Fall,Fall,Unintentional,Fatal Injury,Male,15-24,Hiking
8/1/18,Organ Pipe Cactus National Monument,Hyperthermia,Environmental,Unintentional,Fatal Injury,Male,35-44,Illegal activity
8/1/18,Big Cypress National Preserve,Suicide,Suicide,Intentional,Fatal injury,Male,25-34,Suicide
8/1/18,Blue Ridge Parkway,Suicide,Suicide,Intentional,Fatal injury,Male,45-54,Suicide
8/2/18,Wrangell - St Elias National Park & Reserve,Drowning,Drowning,Unintentional,Fatal Injury,Male,15-24,Vessel Related
8/4/18,Denali National Park & Preserve,Aircraft incident,Other Transportation,Unintentional,Fatal Injury,Male,45-54,Flying
8/4/18,Denali National Park & Preserve,Aircraft incident,Other Transportation,Unintentional,Fatal Injury,Female,55-64,Flying
8/4/18,Denali National Park & Preserve,Aircraft incident,Other Transportation,Unintentional,Fatal Injury,Male,55-64,Flying
8/4/18,Denali National Park & Preserve,Aircraft incident,Other Transportation,Unintentional,Fatal Injury,Male,55-64,Flying
8/4/18,Denali National Park & Preserve,Aircraft incident,Other Transportation,Unintentional,Fatal Injury,Male,65+,Flying
8/4/18,North Cascades National Park,Fall,Fall,Unintentional,Fatal Injury,Male,55-64,Climbing
8/5/18,Gulf Islands National Seashore,Drowning,Drowning,Unintentional,Fatal Injury,Male,35-44,Swimming
8/5/18,Indiana Dunes National Park,Drowning,Drowning,Unintentional,Fatal Injury,Male,55-64,Swimming
8/6/18,Natchez Trace Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,15-24,Driving 
