Incident Date,Park Name,Cause of Death,"Cause of Death Group 
(Used in the NPS Mortality Dashboard) ",Intent,Outcome,Sex,Age Range,Activity
8/8/14,Gulf Islands National Seashore,Drowning,Drowning,Unintentional,Fatal Injury,Male,55-64,Vessel Related
8/9/14,Assateague Island National Seashore,Drowning,Drowning,Unintentional,Fatal Injury,Male,25-34,Swimming
8/9/14,Saint Croix National Scenic Riverway,Drowning,Drowning,Unintentional,Fatal Injury,Male,25-34,Swimming
8/10/14,Wrangell - St Elias National Park & Reserve,Drowning,Drowning,Unintentional,Fatal Injury,Male,45-54,Vessel Related
8/11/14,Yellowstone National Park,Drowning,Drowning,Unintentional,Fatal Injury,Male,15-24,Vessel Related
8/13/14,Yellowstone National Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Female,35-44,Driving 
8/14/14,Lake Mead National Recreation Area,Drowning,Drowning,Unintentional,Fatal Injury,Male,15-24,Swimming
8/14/14,Glen Canyon National Recreation Area,Drowning,Drowning,Unintentional,Fatal Injury,Male,15-24,Swimming
8/16/14,Lake Mead National Recreation Area,Drowning,Drowning,Unintentional,Fatal Injury,Male,25-34,Swimming
8/16/14,Yosemite National Park,Fall,Fall,Unintentional,Fatal Injury,Male,35-44,Climbing
8/17/14,Yellowstone National Park,Fall,Fall,Unintentional,Fatal Injury,Female,0-14,Hiking
8/17/14,Grand Canyon National Park,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Female,65+,Other
8/18/14,Sequoia & Kings Canyon National Parks,Fall,Fall,Unintentional,Fatal Injury,Male,45-54,Hiking
8/19/14,Lake Roosevelt National Recreation Area,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,65+,Vessel Related
8/20/14,Grand Teton National Park,Fall,Fall,Unintentional,Fatal Injury,Male,15-24,Hiking
8/21/14,Death Valley National Park,Drowning,Drowning,Unintentional,Fatal Injury,Male,35-44,Swimming
8/21/14,Cuyahoga Valley National Park,Suicide,Suicide,Intentional,Fatal Injury,Female,25-34,Suicide
8/22/14,Cape Hatteras National Seashore,Drowning,Drowning,Unintentional,Fatal Injury,Male,25-34,Wading
8/22/14,Natchez Trace Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Female,25-34,Driving 
8/23/14,Big South Fork National River and Recreation Area,Fall,Fall,Unintentional,Fatal Injury,Male,15-24,Other
8/24/14,Natchez Trace Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,65+,Driving 
8/26/14,Gateway National Recreation Area,Drowning,Drowning,Unintentional,Fatal Injury,Male,15-24,Wading
8/26/14,Yellowstone National Park,Suicide,Suicide,Intentional,Fatal Injury,Female,15-24,Suicide
8/28/14,Mesa Verde National Park,Suicide,Suicide,Intentional,Fatal Injury,Male,45-54,Suicide
8/29/14,Blue Ridge Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,65+,Driving 
8/29/14,Presidio of San Francisco,Suicide,Suicide,Intentional,Fatal Injury,Male,45-54,Suicide
8/30/14,Anacostia Park,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,55-64,Other
8/30/14,Gateway National Recreation Area,Suicide,Suicide,Intentional,Fatal Injury,Male,35-44,Suicide
8/31/14,Chesapeake & Ohio Canal National Historical Park,Rockfall,Environmental,Unintentional,Fatal Injury,Male,25-34,Climbing
9/1/14,Point Reyes National Seashore,Drowning,Drowning,Unintentional,Fatal Injury,Male,15-24,Swimming
9/3/14,Curecanti National Recreation Area,Drowning,Drowning,Unintentional,Fatal Injury,Male,65+,Vessel Related
9/3/14,Natchez Trace Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,35-44,Driving 
9/3/14,Lake Clark National Park & Preserve,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,25-34,Hiking
9/3/14,Lake Clark National Park & Preserve,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,25-34,Hiking
9/4/14,Grand Canyon National Park,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,65+,Other
9/4/14,Grand Canyon National Park,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,65+,Other
9/4/14,Grand Teton National Park,Vessel Incident,Other Transportation,Unintentional,Fatal Injury,Male,65+,Vessel Related
9/5/14,Cumberland Gap National Historical Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,25-34,Driving 
9/6/14,Yosemite National Park,Fall,Fall,Unintentional,Fatal Injury,Male,65+,Canyoneering
9/6/14,North Cascades National Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Female,55-64,Bicycling
9/6/14,Lake Mead National Recreation Area,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Female,35-44,Other
9/8/14,Joshua Tree National Park,Hyperthermia,Environmental,Unintentional,Fatal Injury,Female,65+,Walking
9/10/14,Delaware Water Gap National Recreation Area,Suicide,Suicide,Intentional,Fatal Injury,Male,25-34,Suicide
9/11/14,Rock Creek Park,Undetermined,Undetermined,Undetermined,Fatal Injury,Not Reported,Not Reported,Not Reported
9/13/14,Valley Forge National Historical Park,Electrocution,Other,Unintentional,Fatal Injury,Male,35-44,Illegal activity
9/13/14,Glen Canyon National Recreation Area,Fall,Fall,Unintentional,Fatal Injury,Male,15-24,Base jumping
9/14/14,Baltimore-Washington Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,35-44,Other
9/15/14,Sleeping Bear Dunes National Lakeshore,Drowning,Drowning,Unintentional,Fatal Injury,Male,65+,Fishing
9/17/14,Rocky Mountain National Park,Suicide,Suicide,Intentional,Fatal Injury,Male,25-34,Suicide
9/19/14,Glacier National Park,Fall,Fall,Unintentional,Fatal Injury,Male,15-24,Walking
9/19/14,Grand Canyon National Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,45-54,Hiking
9/20/14,Ozark National Scenic Riverways,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,65+,Vessel Related
9/22/14,Valley Forge National Historical Park,Fire/burn,Other,Unintentional,Fatal Injury,Female,65+,Not Reported
9/23/14,Glen Canyon National Recreation Area,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,55-64,Other
9/24/14,Baltimore-Washington Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,15-24,Driving 
9/24/14,Rock Creek Park,Suicide,Suicide,Intentional,Fatal Injury,Female,Not Reported,Suicide
9/25/14,Lake Mead National Recreation Area,Drowning,Drowning,Unintentional,Fatal Injury,Male,35-44,Swimming
9/26/14,Gulf Islands National Seashore,Drowning,Drowning,Unintentional,Fatal Injury,Male,65+,Vessel Related
9/26/14,Indiana Dunes National Park,Drowning,Drowning,Unintentional,Fatal Injury,Male,25-34,Swimming
9/26/14,Cape Cod National Seashore,Suicide,Suicide,Intentional,Fatal Injury,Female,55-64,Suicide
9/27/14,Zion National Park,Drowning,Drowning,Unintentional,Fatal Injury,Male,25-34,Not Reported
9/27/14,Great Smoky Mountains National Park,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,55-64,Other
9/30/14,Yosemite National Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,55-64,Hiking
9/30/14,Yosemite National Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,65+,Walking
9/30/14,Point Reyes National Seashore,Suicide,Suicide,Intentional,Fatal Injury,Male,55-64,Suicide
9/30/14,Point Reyes National Seashore,Undetermined,Undetermined,Undetermined,Fatal Injury,Female,65+,Not Reported
10/1/14,Natchez Trace Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Female,65+,Driving 
10/4/14,Great Smoky Mountains National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Female,25-34,Driving 
10/6/14,Glacier National Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,65+,Hiking
10/9/14,Great Smoky Mountains National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Female,35-44,Driving 
10/12/14,Golden Gate National Recreation Area,Drowning,Drowning,Unintentional,Fatal Injury,Male,55-64,Fishing
10/14/14,Catoctin Mountain Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,65+,Hiking
10/18/14,Santa Monica Mountains National Recreation Area,Fall,Fall,Unintentional,Fatal Injury,Male,65+,Walking
10/18/14,Natchez Trace Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,25-34,Driving 
10/19/14,Zion National Park,Fall,Fall,Unintentional,Fatal Injury,Male,45-54,Climbing
10/22/14,El Morro National Monument,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,65+,Hiking
10/24/14,Redwood National and State Parks,Suicide,Suicide,Intentional,Fatal Injury,Male,25-34,Suicide
10/25/14,Grand Canyon National Park,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Female,55-64,Other
10/27/14,Chesapeake & Ohio Canal National Historical Park,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,55-64,Not Reported
10/30/14,Golden Gate National Recreation Area,Fall,Fall,Unintentional,Fatal Injury,Female,Not Reported,Hiking
10/30/14,Gateway National Recreation Area,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,65+,Vessel Related
11/2/14,Joshua Tree National Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,65+,Hiking
11/5/14,Mount Rushmore National Memorial,Suicide,Suicide,Intentional,Fatal Injury,Male,35-44,Suicide
11/6/14,Death Valley National Park,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Female,65+,Sleeping
11/10/14,Natchez Trace Parkway,Suicide,Suicide,Intentional,Fatal Injury,Male,55-64,Suicide
11/11/14,Grand Canyon National Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,55-64,Walking
11/13/14,Big South Fork National River and Recreation Area,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,55-64,Bicycling
11/16/14,Rocky Mountain National Park,Hypothermia,Environmental,Unintentional,Fatal Injury,Male,25-34,Climbing
11/20/14,Sequoia & Kings Canyon National Parks,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,55-64,Other
11/22/14,Natchez Trace Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,25-34,Driving 
11/23/14,Natchez Trace Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,55-64,Driving 
11/26/14,Valley Forge National Historical Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Female,65+,Driving 
11/29/14,Redwood National and State Parks,Drowning,Drowning,Unintentional,Fatal Injury,Male,55-64,Vessel Related
11/29/14,Big Bend National Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,55-64,Walking
12/9/14,Golden Gate National Recreation Area,Suicide,Suicide,Intentional,Fatal Injury,Male,55-64,Suicide
12/10/14,Point Reyes National Seashore,Suicide,Suicide,Intentional,Fatal Injury,Male,55-64,Suicide
12/13/14,Amistad National Recreation Area,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,45-54,Vessel Related
12/13/14,Rock Creek Park,Medical - Unknown,Medical - Unknown,Medical,Fatal Injury,Male,Not Reported,Not Reported
12/18/14,National Mall & Memorial Parks,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Female,65+,Other
12/19/14,Great Smoky Mountains National Park,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,65+,Driving 
12/22/14,Lake Mead National Recreation Area,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,55-64,Other
12/22/14,Denali National Park & Preserve,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,25-34,Driving 
12/22/14,Denali National Park & Preserve,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,45-54,Driving 
12/24/14,Olympic National Park,Hypothermia,Environmental,Unintentional,Fatal Injury,Male,55-64,Hiking
12/27/14,Mount Rainier National Park,Hypothermia,Environmental,Unintentional,Fatal Injury,Male,35-44,Hiking
12/28/14,Colorado National Monument,Suicide,Suicide,Intentional,Fatal Injury,Male,25-34,Suicide
12/28/14,Mojave National Preserve,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,55-64,Camping
12/31/14,Shenandoah National Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,65+,Hiking
1/9/15,Lake Mead National Recreation Area,Suicide,Suicide,Intentional,Fatal Injury,Male,35-44,Suicide
1/16/15,Independence National Historical Park,Poisoning - drugs,Poisoning,Unintentional,Fatal Injury,Male,45-54,Other
1/17/15,Presidio of San Francisco,Medical - Unknown,Medical - Unknown,Medical,Fatal Injury,Male,65+,Not Reported
1/17/15,Death Valley National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Female,45-54,Driving 
1/18/15,Gulf Islands National Seashore,Drowning,Drowning,Unintentional,Fatal Injury,Male,Not Reported,Not Reported
1/18/15,Natchez Trace Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,55-64,Driving 
1/22/15,Natchez Trace Parkway,Suicide,Suicide,Intentional,Fatal Injury,Male,15-24,Suicide
1/23/15,Great Basin National Park,Suicide,Suicide,Intentional,Fatal Injury,Male,25-34,Suicide
1/24/15,Yellowstone National Park,Hypothermia,Environmental,Unintentional,Fatal Injury,Male,45-54,Hiking
1/25/15,Yosemite National Park,Fall,Fall,Unintentional,Fatal Injury,Male,15-24,Climbing
1/25/15,Gateway National Recreation Area,Suicide,Suicide,Intentional,Fatal Injury,Male,25-34,Suicide
1/27/15,Lake Roosevelt National Recreation Area,Poisoning - drugs,Poisoning,Unintentional,Fatal Injury,Male,25-34,Other
1/29/15,Chickasaw National Recreation Area,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,65+,Playing Sports
1/31/15,Home Of Franklin D Roosevelt National Historic Site,Electrocution,Other,Unintentional,Fatal Injury,Male,15-24,Walking
2/1/15,Baltimore-Washington Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,35-44,Walking
2/4/15,Olympic National Park,Suicide,Suicide,Intentional,Fatal Injury,Male,45-54,Suicide
2/5/15,Hawaii Volcanoes National Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,65+,Hiking
2/5/15,Congaree National Park,Suicide,Suicide,Intentional,Fatal Injury,Male,55-64,Suicide
2/7/15,Everglades National Park,Drowning,Drowning,Unintentional,Fatal Injury,Male,65+,Vessel Related
2/7/15,Gateway National Recreation Area,Suicide,Suicide,Intentional,Fatal Injury,Female,45-54,Suicide
2/9/15,Grand Canyon National Park,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,45-54,Not Reported
2/10/15,Death Valley National Park,Suicide,Suicide,Intentional,Fatal Injury,Male,25-34,Suicide
2/12/15,Grand Canyon National Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,65+,Hiking
2/13/15,Redwood National and State Parks,Drowning,Drowning,Unintentional,Fatal Injury,Male,25-34,Swimming
2/14/15,Golden Gate National Recreation Area,Drowning,Drowning,Unintentional,Fatal Injury,Male,35-44,Swimming
2/14/15,Lake Mead National Recreation Area,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,55-64,Sitting
2/18/15,National Mall & Memorial Parks,Suicide,Suicide,Intentional,Fatal Injury,Male,45-54,Suicide
2/20/15,Virgin Islands National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,Not Reported,Driving 
2/21/15,Chesapeake & Ohio Canal National Historical Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,55-64,Other
2/22/15,Virgin Islands National Park,Drowning,Drowning,Unintentional,Fatal Injury,Male,65+,Snorkeling
2/27/15,Lake Mead National Recreation Area,Drowning,Drowning,Unintentional,Fatal Injury,Male,25-34,Vessel Related
3/3/15,Mammoth Cave National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Female,45-54,Driving 
3/3/15,Mammoth Cave National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,45-54,Driving 
3/5/15,Guadalupe Mountains National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,55-64,Driving 
3/11/15,Anacostia Park,Undetermined,Undetermined,Undetermined,Fatal Injury,Not Reported,Not Reported,Not Reported
3/13/15,Lake Mead National Recreation Area,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Female,45-54,Other
3/14/15,Lake Mead National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,65+,Driving 
3/15/15,Appalachian National Scenic Trail,Falling tree/branch,Environmental,Unintentional,Fatal Injury,Male,35-44,Hiking
3/20/15,Baltimore-Washington Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,15-24,Driving 
3/21/15,Point Reyes National Seashore,Rockfall,Environmental,Unintentional,Fatal Injury,Female,55-64,Hiking
3/21/15,Natchez Trace Parkway,Suicide,Suicide,Intentional,Fatal Injury,Male,35-44,Suicide
3/21/15,Big Cypress National Preserve,Suicide,Suicide,Intentional,Fatal Injury,Male,35-44,Suicide
3/23/15,Dry Tortugas National Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,65+,Snorkeling
3/24/15,Redwood National and State Parks,Drowning,Drowning,Unintentional,Fatal Injury,Male,15-24,Swimming
3/31/15,Ozark National Scenic Riverways,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,65+,Other
4/1/15,Lake Mead National Recreation Area,Drowning,Drowning,Unintentional,Fatal Injury,Male,15-24,Swimming
4/1/15,Wrangell - St Elias National Park & Reserve,Fall,Fall,Unintentional,Fatal Injury,Male,55-64,Walking
4/6/15,Virgin Islands National Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,45-54,Swimming
4/8/15,Grand Canyon National Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,35-44,Hiking
4/8/15,Blue Ridge Parkway,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,55-64,Driving 
4/8/15,Natchez Trace Parkway,Suicide,Suicide,Intentional,Fatal Injury,Male,25-34,Suicide
4/14/15,Death Valley National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,65+,Driving 
4/17/15,Point Reyes National Seashore,Vessel Incident,Other Transportation,Unintentional,Fatal injury,Male,25-34,Vessel Related
4/17/15,Point Reyes National Seashore,Vessel Incident,Other Transportation,Unintentional,Fatal injury,Male,35-44,Vessel Related
4/17/15,Point Reyes National Seashore,Vessel Incident,Other Transportation,Unintentional,Fatal injury,Male,55-64,Vessel Related
4/17/15,Point Reyes National Seashore,Vessel Incident,Other Transportation,Unintentional,Fatal injury,Female,55-64,Vessel Related
4/18/15,Great Smoky Mountains National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,45-54,Driving 
4/20/15,Natchez Trace Parkway,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,65+,Bicycling
4/21/15,Chattahoochee River National Recreation Area,Drowning,Drowning,Unintentional,Fatal Injury,Male,15-24,Swimming
4/22/15,Guadalupe Mountains National Park,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,25-34,Other
4/23/15,Natchez Trace Parkway,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,45-54,Bicycling
4/23/15,National Mall & Memorial Parks,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,55-64,Walking
4/24/15,Buffalo National River,Suicide,Suicide,Intentional,Fatal Injury,Male,25-34,Suicide
4/25/15,George Washington Memorial Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,15-24,Driving 
4/25/15,Yellowstone National Park,Undetermined,Undetermined,Undetermined,Fatal Injury,Not Reported,Not Reported,Not Reported
4/26/15,Minute Man National Historical Park,Undetermined,Undetermined,Undetermined,Fatal Injury,Not Reported,Not Reported,Not Reported
4/27/15,Great Smoky Mountains National Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,65+,Photographing
4/27/15,Mammoth Cave National Park,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,35-44,Other
4/29/15,Amistad National Recreation Area,Undetermined,Undetermined,Undetermined,Fatal Injury,Not Reported,Not Reported,Not Reported
4/30/15,Grand Canyon National Park,Fall,Fall,Unintentional,Fatal Injury,Male,25-34,Walking
5/1/15,Lake Mead National Recreation Area,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,55-64,Bicycling
5/1/15,Kenilworth Park & Aquatic Gardens,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,65+,Walking
5/4/15,Saint Croix National Scenic Riverway,Suicide,Suicide,Intentional,Fatal Injury,Male,35-44,Suicide
5/5/15,Grand Canyon National Park,Suicide,Suicide,Intentional,Fatal Injury,Male,25-34,Suicide
5/7/15,Lake Roosevelt National Recreation Area,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Female,Not Reported,Sleeping
5/9/15,Glacier National Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,65+,Other
5/9/15,Natchez Trace Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Female,55-64,Driving 
5/10/15,Blue Ridge Parkway,Bicycle only crash,Other Transportation,Unintentional,Fatal injury,Male,65+,Bicycling
5/10/15,Denali National Park & Preserve,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,35-44,Climbing
5/11/15,Blue Ridge Parkway,Suicide,Suicide,Intentional,Fatal Injury,Male,65+,Suicide
5/15/15,Grand Canyon National Park,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,55-64,Other
5/16/15,Yosemite National Park,Fall,Fall,Unintentional,Fatal Injury,Male,25-34,Base jumping
5/16/15,Yosemite National Park,Fall,Fall,Unintentional,Fatal Injury,Male,35-44,Base jumping
5/17/15,Grand Teton National Park,Avalanche,Environmental,Unintentional,Fatal Injury,Male,35-44,Hiking
5/17/15,Grand Teton National Park,Avalanche,Environmental,Unintentional,Fatal Injury,Male,35-44,Hiking
5/17/15,Rock Creek Park,Fall,Fall,Unintentional,Fatal Injury,Male,55-64,Not Reported
5/18/15,Jean Lafitte National Historical Park & Preserve,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,25-34,Driving 
5/19/15,New River Gorge National River,Suicide,Suicide,Intentional,Fatal Injury,Male,15-24,Suicide
5/19/15,Cumberland Gap National Historical Park,Undetermined,Undetermined,Undetermined,Fatal Injury,Female,35-44,Walking
5/21/15,Padre Island National Seashore,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Female,35-44,Other
5/23/15,Chattahoochee River National Recreation Area,Drowning,Drowning,Unintentional,Fatal Injury,Male,55-64,Vessel Related
5/23/15,Natchez Trace Parkway,Falling tree/branch,Environmental,Unintentional,Fatal Injury,Male,65+,Other
5/23/15,Badlands National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,45-54,Driving 
5/24/15,Gulf Islands National Seashore,Drowning,Drowning,Unintentional,Fatal Injury,Male,15-24,Wading
5/24/15,Grand Canyon National Park,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,65+,Other
5/24/15,Lake Mead National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,0-14,Driving 
5/26/15,Whiskeytown National Recreation Area,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,45-54,Hiking
5/26/15,Capitol Reef National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,Not Reported,Driving 
5/27/15,Lake Meredith National Recreation Area,Drowning,Drowning,Unintentional,Fatal Injury,Male,15-24,Swimming
5/27/15,Yosemite National Park,Fall,Fall,Unintentional,Fatal Injury,Male,15-24,Climbing
5/27/15,Little River Canyon National Preserve,Fall,Fall,Unintentional,Fatal Injury,Male,15-24,Diving (Land)
5/27/15,Blue Ridge Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,45-54,Driving 
5/27/15,Redwood National and State Parks,Suicide,Suicide,Intentional,Fatal Injury,Male,25-34,Suicide
5/28/15,Yellowstone National Park,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Female,65+,Other
5/28/15,Glen Canyon National Recreation Area,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,35-44,Not Reported
5/29/15,George Washington Memorial Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Female,45-54,Driving 
5/29/15,Crater Lake National Park,Suicide,Suicide,Intentional,Fatal Injury,Male,15-24,Suicide
5/30/15,Canyonlands National Park,Fall,Fall,Unintentional,Fatal Injury,Male,45-54,Climbing
5/31/15,Great Smoky Mountains National Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,65+,Hiking
6/1/15,Shenandoah National Park,Suicide,Suicide,Intentional,Fatal Injury,Male,65+,Suicide
6/2/15,Point Reyes National Seashore,Drowning,Drowning,Unintentional,Fatal Injury,Male,65+,Diving - Free
6/2/15,Dry Tortugas National Park,Drowning,Drowning,Unintentional,Fatal Injury,Male,65+,Snorkeling
6/2/15,Golden Gate National Recreation Area,Undetermined,Undetermined,Undetermined,Fatal Injury,Female,15-24,Not Reported
6/3/15,Great Falls Park,Drowning,Drowning,Unintentional,Fatal Injury,Male,15-24,Swimming
6/3/15,National Mall & Memorial Parks,Other,Other,Unintentional,Fatal Injury,Male,35-44,Other
6/4/15,Wrangell - St Elias National Park & Reserve,Aircraft incident,Other Transportation,Unintentional,Fatal Injury,Male,55-64,Other
6/4/15,Blue Ridge Parkway,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,65+,Hiking
6/6/15,Yosemite National Park,Fall,Fall,Unintentional,Fatal Injury,Male,65+,Walking
6/7/15,Great Smoky Mountains National Park,Suicide,Suicide,Intentional,Fatal Injury,Female,55-64,Suicide
6/8/15,Little River Canyon National Preserve,Fall,Fall,Unintentional,Fatal Injury,Male,15-24,Diving (Land)
6/8/15,Saint Croix National Scenic Riverway,Suicide,Suicide,Intentional,Fatal Injury,Male,25-34,Suicide
6/10/15,Cape Hatteras National Seashore,Medical - Unknown,Medical - Unknown,Medical,Fatal Injury,Male,45-54,Not Reported
6/12/15,Mount Rainier National Park,Hypothermia,Environmental,Unintentional,Fatal Injury,Male,25-34,Hiking
6/13/15,Saint Croix National Scenic Riverway,Suicide,Suicide,Intentional,Fatal Injury,Male,35-44,Suicide
6/14/15,Glacier National Park,Drowning,Drowning,Unintentional,Fatal Injury,Male,25-34,Vessel Related
6/14/15,Lake Mead National Recreation Area,Drowning,Drowning,Unintentional,Fatal Injury,Male,45-54,Swimming
6/14/15,Saint Croix National Scenic Riverway,Suicide,Suicide,Intentional,Fatal Injury,Male,45-54,Suicide
6/15/15,Golden Gate National Recreation Area,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,25-34,Not Reported
