"","Parkname","gnis_id","Count","TotalValue","lon","lat","Gnis Id"
"186","Lake Chelan","1528425",10,368639,-120.683756372623,48.3539071208519,"1528425"
"187","Lake Clark","1416049",40,467240,-154.568440746381,60.185299842672,"1416049"
"188","Lake Clark","1416049",40,467240,-153.248083687563,60.5542993485578,"1416049"
"189","Lake Mead","858265",10,70417513,-114.651914647439,35.7165023141282,"858265"
"190","Lake Roosevelt","1531834",10,13659366,-118.715168002806,47.9116458146954,"1531834"
"191","Lassen Volcanic","262325",10,4146095,-121.407214019463,40.4938343885511,"262325"
"192","Lava Beds","262358",10,1268931,-121.517809900471,41.7587695661037,"262358"
"193","Lewis and Clark","2055170",10,2316336,-124.067646876811,46.286189610103,"2055170"
"194","Lincoln Boyhood","446882",10,1288226,-86.9965738490269,38.1181772518704,"446882"
"195","Lincoln Home","1821086",10,3004714,-89.6451401041819,39.797163800342,"1821086"
"196","Lincoln Memorial","531835",10,61896789,-77.0501800775069,38.8892800792411,"531835"
"197","Little Bighorn Battlefield","806297",10,3064671,-107.428647815958,45.5650611794602,"806297"
"198","Little River Canyon","1888939",10,2391610,-85.597251010697,34.4519242357407,"1888939"
"199","Little Rock Central High School","2091841",10,824675,-92.2997575299792,34.7369611975615,"2091841"
"200","Longfellow","2733437",10,480058,-71.1263701738765,42.3769972104401,"2733437"
"201","Lyndon B. Johnson","1888941",10,1036845,-98.615165773511,30.2419839649303,"1888941"
"202","Lyndon Baines Johnson Grove","530776",10,3080906,-77.0514606222526,38.8785881390369,"530776"
"203","Maggie L. Walker","1780716",10,89868,-77.436750415945,37.5473357434404,"1780716"
"204","Mammoth Cave","507318",10,5096511,-86.1309069003164,37.1976116465446,"507318"
"205","Manassas","1470042",10,5720793,-77.5300417594604,38.8207807904059,"1470042"
"206","Manhattan Project","2775864",1,104715,-84.3933347171577,35.9354023767439,"2775864"
"207","Manzanar","1804731",10,833790,-118.154730119334,36.7255970991736,"1804731"
"208","Marsh-Billings-Rockefeller","1888942",10,357007,-72.5382397463402,43.6338314340603,"1888942"
"209","Martin Luther King Jr Memori","2002666",6,18802093,-77.0443993625247,38.8862898768537,"2002666"
"210","Martin Luther King Jr.","1704967",10,6606172,-84.3716975014383,33.7549265132068,"1704967"
"211","Martin Van Buren","1888943",10,202577,-73.7152965190935,42.3666724482829,"1888943"
"212","Mary McLeod Bethune Council House","2733422",10,131457,-77.0309674256803,38.9081911087711,"2733422"
"213","Mesa Verde","179042",10,5356478,-108.462404262137,37.2390890876667,"179042"
"214","Minute Man","600051",10,10366831,-71.2960421230719,42.4534092434694,"600051"
"215","Minuteman Missile","2733442",10,642051,-101.900442661614,43.8445838381767,"2733442"
"216","Mojave","1888945",10,5688204,-115.514374959758,35.1147794133509,"1888945"
"217","Monocacy","588388",10,451167,-77.4024695444385,39.3576984647687,"588388"
"218","Montezuma Castle","31964",10,5015332,-111.83662637222,34.6110260598417,"31964"
